question,option0,option1,option2,correctIndex,difficulty,era,region
"Which 1989 Hong Kong action film directed by John Woo features stylized 'gun fu' and white doves?","The Killer","Hard Boiled","A Better Tomorrow",0,"Easy","80s","International"
"In the 1980 film 'The Gods Must Be Crazy', a tribal man discovers what object fallen from the sky?","A Coca-Cola bottle","A radio","A flashlight",0,"Easy","80s","International"
"In 'The Shining' (1980), Jack Torrance takes a job as the winter caretaker of which hotel?","The Overlook","The Bates Motel","The Stanley",0,"Medium","80s","Domestic"
"In 'Blade Runner' (1982), what is the name of the test used to distinguish humans from replicants?","Voight-Kampff","Turing Test","Deckard Exam",0,"Medium","80s","Domestic"
"In the 1988 film 'Die Hard', Hans Gruber leads a group of terrorists to seize which building?","Nakatomi Plaza","Empire State Building","Sears Tower",0,"Medium","80s","Domestic"
"Which 1980 Martin Scorsese film was shot in black and white and stars Robert De Niro as Jake LaMotta?","Raging Bull","Goodfellas","Casino",0,"Medium","80s","Domestic"
"In 'Ferris Bueller's Day Off', Ferris borrows a 1961 Ferrari 250 GT California belonging to whose father?","Cameron's","Sloane's","Jeanie's",0,"Medium","80s","Domestic"
"In the 1986 film 'Blue Velvet', which actor plays the terrifying, gas-huffing Frank Booth?","Dennis Hopper","Kyle MacLachlan","Christopher Walken",0,"Medium","80s","Domestic"
"In 'Do the Right Thing' (1989), Radio Raheem famously carries a boombox playing which Public Enemy song?","Fight the Power","Don't Believe the Hype","Bring the Noise",0,"Medium","80s","Domestic"
"In the 1984 film 'Amadeus', which composer serves as the jealous narrator of Mozart's life?","Antonio Salieri","Joseph Haydn","Ludwig van Beethoven",0,"Medium","80s","Domestic"
"In 'The Terminator' (1984), what is the name of the nightclub where Sarah Connor first meets Kyle Reese?","Tech Noir","The Blue Parrot","Neon Lights",0,"Medium","80s","Domestic"
"In the 1986 sequel 'Aliens', what is the name of the planetoid where the colonists were attacked?","LV-426","Acheron","Fiorina 161",0,"Medium","80s","Domestic"
"In 'Predator' (1987), Arnold Schwarzenegger's character Dutch famously tells his team to 'Get to the ______!'","Choppa","Truck","Jungle",0,"Medium","80s","Domestic"
"In the 1982 horror film 'Poltergeist', what is the famous line spoken by Carol Anne?","They're here!","Don't go in there!","Help me!",0,"Medium","80s","Domestic"
"In the 1984 mockumentary 'This Is Spinal Tap', Nigel Tufnel's amplifiers go up to what number?","11","10","12",0,"Medium","80s","Domestic"
"In the 1984 film 'Gremlins', what is the most important rule regarding feeding a Mogwai?","Never feed after midnight","Never get them wet","Avoid bright lights",0,"Medium","80s","Domestic"
"In 'Coming to America' (1988), Prince Akeem works at which fictional fast-food restaurant?","McDowell's","Burger Lord","Big Kahuna Burger",0,"Medium","80s","Domestic"
"In the 1985 Jackie Chan film 'Police Story', the famous climax takes place in which location?","A shopping mall","A construction site","A clock tower",0,"Medium","80s","International"
"The 1982 film 'Fitzcarraldo' is famous for the real-life feat of moving what over a mountain?","A steamship","A train","An opera house",0,"Medium","80s","International"
"In the 1981 cult horror 'Possession', Isabelle Adjani gives a visceral performance in which setting?","A subway station","A church","A hospital",0,"Medium","80s","International"
"Which 1986 Hong Kong film features a famous scene where three women hide in a theater during a Peking Opera rehearsal?","Peking Opera Blues","Rouge","Project A",0,"Medium","80s","International"
"In the 1988 Dutch thriller 'The Vanishing' (Spoorloos), what happens to the protagonist at the very end?","He is buried alive","He finds his wife","He escapes the killer",0,"Medium","80s","International"
"In 'Babette's Feast' (1987), Babette wins the lottery and spends the money on a meal in which country?","Denmark","France","Norway",0,"Medium","80s","International"
"In 'Au Revoir les Enfants' (1987), the headmaster of the school is hiding Jewish children during which war?","World War II","World War I","Algerian War",0,"Medium","80s","International"
"In 'My Life as a Dog' (1985), the young protagonist Ingemar constantly compares his life to which space-traveling animal?","Laika the dog","Ham the chimp","Felix the cat",0,"Medium","80s","International"
"In 'Kiki's Delivery Service' (1989), Kiki moves to a new city to start a delivery business using what?","A broomstick","A bicycle","A talking cat",0,"Medium","80s","International"
"Which 1986 Studio Ghibli film features a legendary floating city called Laputa?","Castle in the Sky","Nausicaä","My Neighbor Totoro",0,"Medium","80s","International"
"In the 1983 film 'Project A', Jackie Chan performs a death-defying fall from which landmark?","A clock tower","A lighthouse","A bridge",0,"Medium","80s","International"
"In the 1986 film 'A Better Tomorrow', Chow Yun-fat's character Mark is iconic for wearing what accessory?","Long trench coat and sunglasses","A white suit","A leather jacket",0,"Medium","80s","International"
"Which 1987 Danish film won the Oscar for Best Foreign Language Film and follows an old man and his son's journey?","Pelle the Conqueror","Babette's Feast","The Celebration",0,"Medium","80s","International"
"In 'Veronika Voss' (1982), the title character is a former UFA star addicted to what substance?","Morphine","Alcohol","Cocaine",0,"Medium","80s","International"
"Krzysztof Kieślowski's 1988 'Dekalog' is a series of ten films based on what?","The Ten Commandments","Dante's Inferno","The Zodiac Signs",0,"Medium","80s","International"
"In the 1981 Brazilian film 'Pixote', the story follows the lives of abandoned children in which city?","São Paulo","Rio de Janeiro","Brasília",0,"Medium","80s","International"
"In the 1982 Turkish film 'Yol', five prisoners are given a week's leave to visit their families; who wrote the screenplay while in prison?","Yılmaz Güney","Nuri Bilge Ceylan","Semih Kaplanoğlu",0,"Medium","80s","International"
"The 1985 Japanese film 'Tampopo' is famously described as a 'Noodle Western'; what is the protagonist's quest?","To find the perfect ramen recipe","To save a village","To win a cook-off",0,"Medium","80s","International"
"In the 1984 Chinese film 'Yellow Earth', what is the occupation of the soldier who travels to a remote village?","Folk song collector","Recruiter","Spy",0,"Medium","80s","International"
"In 'Women on the Verge of a Nervous Breakdown' (1988), what does Pepa put into the gazpacho?","Sleeping pills","Rat poison","Hot sauce",0,"Medium","80s","International"
"In the 1983 film 'Videodrome', what is the name of the media prophet who only appears on television screens?","Brian O'Blivion","Max Renn","Nicki Brand",0,"Hard","80s","Domestic"
"In John Carpenter's 'The Thing' (1982), the creature is first seen chasing what animal across the snow?","A Husky","A Wolf","A Reindeer",0,"Hard","80s","Domestic"
"In the 1984 cult classic 'Repo Man', Miller famously explains the 'Cosmic Interconnectedness' using what food as an example?","A plate o' shrimp","A hamburger","A taco",0,"Hard","80s","Domestic"
"The 1984 film 'Blood Simple' was the directorial debut of which filmmaking duo?","The Coen Brothers","The Wachowskis","The Hughes Brothers",0,"Hard","80s","Domestic"
"In Jim Jarmusch's 'Stranger Than Paradise' (1984), Willie, Eddie, and Eva travel to which snowy destination?","Cleveland","Buffalo","Detroit",0,"Hard","80s","Domestic"
"In the 1984 film 'Body Double', director Brian De Palma features a music video sequence for which 80s band?","Frankie Goes to Hollywood","Duran Duran","The Cars",0,"Hard","80s","Domestic"
"In 'Blow Out' (1981), Jack Terry is a sound effects technician who accidentally records a murder while trying to capture what sound?","A wind gust","A tire blowout","An owl hoot",2,"Hard","80s","Domestic"
"Which 1981 Michael Mann film features James Caan as a professional safe cracker?","Thief","Manhunter","The Keep",0,"Hard","80s","Domestic"
"In the 1989 film 'Crimes and Misdemeanors', what is the name of the philosopher whose documentary Judah is watching?","Louis Levy","Solomon Northup","Arthur Miller",0,"Hard","80s","Domestic"
"In 'Top Gun' (1986), Maverick's father, Duke Mitchell, flew a F-4 Phantom in which specific squadron during the Vietnam War?","VF-51","VF-1","VF-101",0,"Hard","80s","Domestic"
"In Tarkovsky's 'Nostalghia' (1983), the protagonist attempts to carry a lit candle across a pool in which Italian town?","Bagno Vignoni","Siena","Florence",0,"Hard","80s","International"
"In the 1986 film 'The Sacrifice', the protagonist burns down his house as a bargain with God to prevent what?","Nuclear War","A family death","An earthquake",0,"Hard","80s","International"
"In Robert Bresson's final film 'L'Argent' (1983), the story is triggered by the passing of a counterfeit note of what denomination?","500 francs","100 francs","50 francs",0,"Hard","80s","International"
"In 'Santa Sangre' (1989), the protagonist acts as the 'arms' for his mother, whose arms were cut off in which location?","A circus","A church","A hospital",0,"Hard","80s","International"
"In Agnès Varda's 'Vagabond' (1985), the story begins with the discovery of the protagonist's frozen body in which location?","A ditch","A barn","A beach",0,"Hard","80s","International"
"The 1985 documentary 'Shoah' is famous for its 9-hour runtime and for specifically excluding what type of footage?","Archival footage","Interviews","Re-enactments",0,"Hard","80s","International"
"In Leos Carax's 'Mauvais Sang' (1986), Denis Lavant famously runs down the street to which David Bowie song?","Modern Love","Let's Dance","Heroes",0,"Hard","80s","International"
"The 1989 film 'A City of Sadness' was the first to openly depict which sensitive event in Taiwanese history?","The 2-28 Incident","The White Terror","The Civil War",0,"Hard","80s","International"
"In the 1989 cyberpunk film 'Tetsuo: The Iron Man', the protagonist begins to turn into metal after an accident involving what?","A scrap metal worker","A car crash","A factory explosion",0,"Hard","80s","International"
"In Theo Angelopoulos's 'Landscape in the Mist' (1988), two children travel across Greece to find their father in which country?","Germany","Albania","Turkey",0,"Hard","80s","International"
"In the 1986 film 'Top Gun', what was the specific 'call sign' of the RIO who died during the training exercise involving Maverick?","Goose","Iceman","Slider",0,"Easy","80s","Domestic"
"In 'The Shining' (1980), what was the actual room number of the haunted suite, changed from the book's '217' at the request of the Timberline Lodge?","237","101","418",0,"Director Cut","80s","Domestic"
"Which 1982 sci-fi film used 'retro-fitting'—adding high-tech details to old machines—as a primary design philosophy by futurist Syd Mead?","Blade Runner","Tron","The Last Starfighter",0,"Director Cut","80s","Domestic"
"In 'Blue Velvet' (1986), what is the specific brand of beer that Frank Booth screams is his favorite during his confrontation with Jeffrey?","Pabst Blue Ribbon","Heineken","Budweiser",0,"Director Cut","80s","Domestic"
"For the 1982 film 'The Thing', which legendary creature effects artist stepped in to replace Rob Bottin when he became hospitalized from exhaustion?","Stan Winston","Rick Baker","Tom Savini",0,"Director Cut","80s","Domestic"
"In 'Raging Bull' (1980), what substance did the production team use to simulate blood, finding that real stage blood didn't look right in black and white?","Hershey's Chocolate Syrup","Red corn syrup","Ink",0,"Director Cut","80s","Domestic"
"Which 1984 film features a 'z-channel' cable box as a prominent background element, reflecting the director's obsession with the LA cable channel?","Blood Simple","Body Double","Repo Man",1,"Director Cut","80s","Domestic"
